Agency,Category,Facility or Program Type,Families with Children,Adult Families,Total Families,Total Adults in Families,Total Children,Single Men,Single Women,Runaway and Homeless Youth,Anyone of Another Gender,Total Single Adults,Total Adults,Total,Data Period,Data Period Notes
Department of Homeless Services (DHS),Average daily overnight census,DHS veterans shelters,,,,,,184,0,,0,184,,,202310,
Department of Homeless Services (DHS),Average daily overnight census,DHS drop-in centers,,,,,,126,52,,,178,,,202310,
Department of Homeless Services (DHS),Average daily overnight census,DHS faith-based facilities,,,,,,13,<10,,,#,,,202310,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS-administered facilities,22869,3257,26126,38312,35769,19301,6171,,50,25522,,,202310,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS safe havens,,,,,,1456,246,NA,<10,#,,,202310,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS stabilization beds,,,,,,1225,417,NA,<10,#,,,202310,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS veterans shelters,,,,,,217,0,,0,217,,,202310,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS drop-in centers,,,,,,NA,NA,NA,,NA,,,202310,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS faith-based facilities,,,,,,NA,NA,NA,,NA,,,202310,
Department of Homeless Services (DHS),Average length of stay,DHS-administered facilities,348,504,NA,,,NA,NA,NA,,394,,,202310,
Department of Homeless Services (DHS),Average length of stay,DHS safe havens,NA,NA,NA,,,NA,NA,NA,,503,,,202310,
Department of Homeless Services (DHS),Average length of stay,DHS stabilization beds,NA,NA,NA,,,NA,NA,NA,,409,,,202310,
Department of Homeless Services (DHS),Average length of stay,DHS veterans shelters,NA,NA,NA,,,NA,NA,NA,,370,,,202310,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Applications,4899,971,,,,2496,899,,13,3408,,,202310,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated families (Families with Children and Adult Families) with an application outcome in the month3,3879,704,,,,,,,,,,,202310,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated families found eligible for shelter4,1796,182,,,,,,,,,,,202310,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated entrants (households) to DHS-administered facilities,1796,182,,,,2496,899,,13,3408,,,202310,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted one application,73,27,,,,,,,,,,,202310,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted two applications,15,18,,,,,,,,,,,202310,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted three applications,7,29,,,,,,,,,,,202310,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted four applications,3,17,,,,,,,,,,,202310,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted five applications,1,8,,,,,,,,,,,202310,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted six applications or more,1,2,,,,,,,,,,,202310,
Department of Homeless Services (DHS),Total number of facilities,DHS-administered facilities,,,,,,,,,,,,493,202310,
Office of Technology & Innovation (OTI),Average daily overnight census,Humanitarian Emergency Response and Relief Centers (HERRCs),19670,1682,21352,11838,9514,10295,586,,13,10894,,32247,202310,
Office of Technology & Innovation (OTI),Total number of individuals utilizing city-administered facilities,Humanitarian Emergency Response and Relief Centers (HERRCs),19894,1333,21227,11601,9626,9476,534,,11,10021,,31248,202310,
Office of Technology & Innovation (OTI),Total number of facilities,Humanitarian Emergency Response and Relief Centers (HERRCs),,,,,,,,,,,,54,202310,
Mayor's Office of Criminal Justice (MOCJ),Total number of individuals utilizing city-administered facilities,Short-term reentry housing,23,,,,,684,101,NA,,785,,,202310,
Mayor's Office of Criminal Justice (MOCJ),Total number of facilities,Short-term reentry housing,,,,,,,,,,,,18,202310,
Department of Health and Mental Hygeine (DOHMH),Total number of individuals utilizing city-administered facilities,Justice-informed supportive housing (JISH),,,,,,84,20,,,104,,,202310,
Department of Health and Mental Hygeine (DOHMH),Total number of facilities,Justice-informed supportive housing (JISH),,,,,,,,,,,,120,202310,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities,187,178,365,842,365,259,131,NA,0,390,,,202310,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency facilities: Family Living Center (HPD Shelter),181,0,181,401,354,0,0,,0,0,,,202310,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Single Room Occupancy Hotel),0,172,172,413,0,254,128,,0,382,,,202310,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities: American Red Cross,6,6,12,29,11,5,3,,0,8,,,202310,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Emergency Procurement Hotel Contracts3),NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,202310,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities,243,206,449,1052,479,283,147,NA,1,431,,,202310,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency facilities: Family Living Center (HPD Shelter),201,0,201,447,394,0,0,,0,0,447,,202310,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Single Room Occupancy Hotel),0,175,175,421,0,254,130,,0,384,805,,202310,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities: American Red Cross,42,31,73,184,85,29,17,,1,47,231,,202310,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,202310,
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities,270,387,324,,,507,348,NA,7,451,,,202310,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency facilities: Family Living Center (HPD Shelter),326,0,326,,,0,0,NA,0,0,,,202310,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Single Room Occupancy Hotel),0,455,455,,,564,393,NA,0,506,,,202310,
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities: American Red Cross,5,6,5,,,6,6,NA,7,6,,,202310,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,,,NA,NA,NA,NA,NA,,,202310,
Housing Preservation and Development (HPD),Total number of facilities,HPD-administered facilities,,,,,,,,,,,,18,202310,
Human Resources Adminstration (HRA),Average daily overnight census,HRA-administered facilities,1231,319,1468,1738,2142,1905,494,,8,2408,,,202310,
Human Resources Adminstration (HRA),Average daily overnight census,HRA domestic violence emergency shelters,676,133,766,813,1231,11,79,,,90,,,202310,
Human Resources Adminstration (HRA),Average daily overnight census,HRA domestic violence Tier II/transitional shelters,492,39,492,531,813,NA,NA,,,NA,,,202310,
Human Resources Adminstration (HRA),Average daily overnight census,HRA HIV/AIDS Services Administration (HASA) emergency housing,63,147,210,394,98,1333,252,,5,1591,,,202310,
Human Resources Adminstration (HRA),Average daily overnight census,HRA HASA transitional housing,0,0,0,0,0,561,163,,3,727,,,202310,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA-administered facilities,1408,365,1677,1974,2464,2201,575,,10,2786,,,202310,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA- administered facilities: domestic violence shelters,1338,210,1452,1554,2352,16,98,,,114,,,202310,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA- administered facilities: HASA shelters,70,155,225,420,112,2185,477,,10,2672,,,202310,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA domestic violence emergency shelters,806,166,920,978,1473,16,98,,,114,,,202310,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA domestic violence Tier II/transitional shelters,532,44,532,576,879,,,,,,,,202310,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA HASA emergency housing,70,160,230,430,112,1558,302,,<10,#,,,202310,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA HASA transitional housing,0,0,0,0,0,689,191,,<10,#,,,202310,
Human Resources Adminstration (HRA),Average length of stay,HRA domestic violence emergency shelters,103,100,102,,,95,94,NA,,95,,,202310,
Human Resources Adminstration (HRA),Average length of stay,HRA domestic violence Tier II/transitional shelters,295,427,295,,,NA,NA,NA,,NA,,,202310,
Human Resources Adminstration (HRA),Average length of stay,HRA HASA emergency housing,300,382,358,,,237,224,NA,179,235,,,202310,
Human Resources Adminstration (HRA),Average length of stay,HRA HASA transitional housing,132,172,164,,,150,153,NA,149,151,,,202310,
Human Resources Adminstration (HRA),Total number of facilities,HRA-administered facilities,,,,,,,,,,,,151,202310,
Department of Youth and Community Development (DYCD),Average daily overnight census,DYCD-administered facilities,27,NA,27,23,27,349,295,42,<10,652,,749,202310,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered facilities,36,NA,36,28,37,1246,1049,117,21,2316,,2506,202310,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered crisis services programs,20,NA,20,13,21,184,187,55,<10,376,,472,202310,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered drop-in centers1,0,NA,0,0,0,789,638,40,<10,1435,,1475,202310,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered transitional independent living support programs,16,NA,16,15,16,273,224,22,<10,505,,559,202310,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered crisis services programs,46,NA,46,73,44,42,50,32,57,47,,44,202310,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered transitional independent living support programs,448,NA,448,448,448,147,220,36,222,183,,188,202310,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,Number of individuals who are on wait-list - DYCD-administered facilities,NA,NA,NA,,,NA,NA,NA,,NA,,,202310,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,DYCD-administered crisis services programs,NA,NA,NA,,,NA,NA,NA,,NA,,,202310,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,DYCD-administered drop-in centers,NA,NA,NA,,,NA,NA,NA,,NA,,,202310,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,DYCD-administered transitional independent living support programs,NA,NA,NA,,,NA,NA,NA,,NA,,,202310,
Department of Youth and Community Development (DYCD),Total number of facilities,DYCD-administered facilities,,,,,,,,,,,,52,202310,
